,Adult,Genres,Id,Imdb Id,Keywords,Production Companies,Production Countries,Release Date,Year,Tagline,Title,Budget,Popularity,Runtime,Vote Average,Vote Count,New Key,Worldwide,Domestic,Foreign
2430,False,"['Thriller', 'Crime', 'Drama']",2116,tt0313443,"['miami, florida', 'florida', 'double murder', 'divorce']","['Original Film', 'Monarch Pictures']",['United States of America'],10/3/2003,2003,The Clock Is Ticking...,Out of Time,50000000,10.738888,105.0,6.1,305.0,"['miami', 'florida', 'double murder']",55495563,41088845,14406718
2431,False,"['Comedy', 'Music']",1584,tt0332379,"[""rock 'n' roll"", 'musician', 'high school', 'music competition', 'substitute teacher', 'teacher', 'rock music', 'contest', 'rock band', 'music band']","['Paramount Pictures', 'Scott Rudin Productions', 'Nickelodeon Movies', 'NEW Century', 'Sor Productions']","['Germany', 'United States of America']",10/3/2003,2003,He just landed the gig of his life: 5th grade.,School of Rock,35000000,17.951420000000006,108.0,6.8,1454.0,"['rock and roll', 'rock', 'high school']",131095614,81261177,49834437
2434,False,"['Drama', 'Comedy']",2056,tt0340377,"['train station', 'new jersey', 'small person', 'friendship']","['Next Wednesday Productions', 'SenArt Films']",['United States of America'],1/26/2003,2003,Loneliness is much better when you have got someone to share it with.,The Station Agent,500000,5.85469,88.0,7.4,213.0,"['train station', 'new jersey', 'small person', 'friendship']",8679814,5739376,2940438
2435,False,"['Crime', 'Drama', 'Mystery', 'Thriller']",4997,tt0335563,"['robbery', 'junkie', 'investigation', 'porno star', 'murder', 'los angeles', 'violence']",['Lions Gate Films'],"['Canada', 'United States of America']",10/23/2003,2003,"Sex, drugs, murder. Welcome to L.A.",Wonderland,5000000,8.062123,104.0,6.2,73.0,"['robbery', 'junkie', 'investigation', 'porno star', 'murder', 'los angeles', 'violence']",2466444,1060512,1405932
2436,False,"['Thriller', 'Crime', 'Drama', 'Mystery']",322,tt0327056,"['child abuse', 'sexual abuse', 'loss of child', 'repayment', 'suppressed past', 'arbitrary law', 'boston', 'reference to sprite']","['Village Roadshow Pictures', 'Malpaso Productions', 'NPV Entertainment', 'Warner Bros.']",['United States of America'],10/7/2003,2003,"We bury our sins, we wash them clean.",Mystic River,25000000,12.602438,138.0,7.6,1473.0,"['child abuse', 'sexual abuse', 'loss of child', 'repayment', 'suppressed past', 'arbitrary law', 'boston', 'reference to sprite']",156595191,90135191,66460000
2437,False,"['Horror', 'Action', 'Thriller']",11059,tt0317676,"['island', 'rave', 'weapon', 'student', 'based on video game']","['Brightlight Pictures', 'Herold Productions', 'Mindfire Entertainment']","['Canada', 'Germany', 'United States of America']",4/11/2003,2003,You won't last the night.,House of the Dead,7000000,5.701278,90.0,2.8,106.0,"['island', 'rave', 'weapon', 'student']",13818181,10249719,3568462
2438,False,"['Crime', 'Comedy', 'Romance']",11775,tt0138524,"['california', 'assassin', 'infidelity', 'fetish', 'hitman', 'tycoon', 'court', 'satire', 'lawyer', 'inheritance']","['Imagine Entertainment', 'Universal Pictures', 'Mike Zoss Productions', 'Alphaville Productions']",['United States of America'],9/2/2003,2003,They can't keep their hands off each others assets.,Intolerable Cruelty,60000000,13.469862,100.0,5.8,400.0,"['california', 'assassin', 'infidelity', 'fetish', 'hitman', 'tycoon', 'court', 'satire', 'lawyer', 'inheritance']",120801243,35327628,85473615
2439,False,"['Action', 'Crime']",24,tt0266697,"['japan', 'coma', 'martial arts', 'kung fu', 'underworld', 'yakuza', 'sword', 'bride', 'revenge', 'gore', 'female yakuza', 'blood', 'wedding', 'samurai sword']","['Miramax Films', 'A Band Apart', 'Super Cool ManChu']",['United States of America'],10/10/2003,2003,Go for the kill.,Kill Bill: Vol. 1,30000000,25.261865,111.0,7.7,5091.0,"['japan', 'coma', 'martial arts', 'kung fu', 'underworld', 'yakuza', 'sword', 'bride', 'revenge', 'gore', 'female yakuza', 'blood', 'wedding', 'samurai sword']",180899045,70099045,110800000
2443,False,"['Drama', 'Thriller']",11329,tt0313542,"['court case', 'gun rampage', 'firearm', 'jury', 'suspense', 'person running amok']","['Regency Enterprises', 'Epsilon Motion Pictures', 'New Regency Pictures']",['United States of America'],10/9/2003,2003,Trials are too important to be decided by juries.,Runaway Jury,60000000,8.810961,127.0,6.9,354.0,"['court case', 'gun rampage', 'firearm', 'jury', 'suspense', 'person running amok']",80154140,49443628,30710512
2444,False,['Horror'],9373,tt0324216,"['trauma', 'psychopath', 'stalker', 'friends', 'murder', 'gore', 'blood', 'hitchhiker', 'chainsaw', 'torture', 'violence', 'cannibal', 'killer']","['New Line Cinema', 'Next Entertainment', 'Platinum Dunes', 'Focus Features', 'Radar Pictures', 'Chainsaw Productions LLC']",['United States of America'],10/17/2003,2003,What you know about fear... doesn't even come close.,The Texas Chainsaw Massacre,9500000,7.8100679999999985,98.0,6.1,670.0,"['trauma', 'psychopath', 'stalker', 'friends', 'murder', 'gore', 'blood', 'hitchhiker', 'chainsaw', 'torture', 'violence', 'cannibal', 'killer']",107071655,80571655,26500000
2445,False,"['Comedy', 'Drama']",1550,tt0311648,"['sex', 'thanksgiving', 'road trip', 'love', 'independent film', 'neighbor', 'marijuana', 'family']","['Kalkaska Productions', 'IFC Productions']",['United States of America'],1/19/2003,2003,She's the one in every family.,Pieces of April,300000,4.19275,81.0,6.4,64.0,"['sex', 'thanksgiving', 'road trip', 'love', 'independent film', 'neighbor', 'marijuana', 'family']",3272028,2528664,743364
2447,False,"['Drama', 'Romance']",28200,tt0325055,"['beach', 'infidelity', 'boat', 'writing', 'biography', 'poet', 'love', 'snow', 'drinking']",['Focus Films'],['United Kingdom'],10/17/2003,2003,Life was too small to contain her...,Sylvia,7000000,11.37237,109.0,5.6,34.0,"['beach', 'infidelity', 'boat', 'writing', 'biography', 'poet', 'love', 'snow', 'drinking']",2917393,1315498,1601895
2448,False,"['Drama', 'Crime', 'Thriller']",10629,tt0312549,"['journalism', 'dublin', 'police', 'drug scene', 'based on a true story', 'murder', 'drug lord', '1990s']","['Jerry Bruckheimer Films', 'Touchstone Pictures']","['Ireland', 'United Kingdom', 'United States of America']",7/11/2003,2003,Why would anyone want to kill Veronica Guerin?,Veronica Guerin,17000000,9.548519,98.0,6.8,61.0,"['journalism', 'police', 'drug scene', 'murder']",9439660,1571504,7868156
2449,False,"['Mystery', 'Thriller']",10944,tt0199626,"['eroticism', 'suspense']","['Pathe Productions', 'Red Turtle']","['Australia', 'United States of America']",9/9/2003,2003,Everything you know about desire is dead wrong.,In the Cut,12000000,5.799628,119.0,4.7,93.0,"['eroticism', 'suspense']",23726793,4750602,18976191
2450,False,"['Drama', 'Romance', 'Adventure', 'War']",9839,tt0294357,"['london england', 'cia', 'landmine', 'cambodia', 'ethiopia', 'chechnya']","['Mandalay Pictures', 'CP Medien AG', 'Camelot Pictures']","['Germany', 'United States of America']",10/23/2003,2003,Where hope survives.,Beyond Borders,35000000,8.940335000000003,127.0,6.7,113.0,"['london england', 'cia', 'landmine', 'cambodia', 'ethiopia', 'chechnya']",11705002,4430101,7274901
2451,False,['Drama'],13920,tt0316465,"['biography', 'friendship', 'sports']",['Revolution Studios'],['United States of America'],10/24/2003,2003,His courage made them champions.,Radio,32000000,5.81647,109.0,6.8,146.0,"['biography', 'friendship']",53293628,52333738,959890
2453,False,"['Adventure', 'Animation', 'Family']",10009,tt0328880,"['brother brother relationship', 'grizzly bear', 'inuit', 'transformation', 'friendship', 'sibling rivalry', 'unlikely friendship', 'aftercreditsstinger', 'duringcreditsstinger']",['Walt Disney Feature Animation'],['United States of America'],10/23/2003,2003,Nature Calls,Brother Bear,100000000,12.300905,85.0,6.9,1410.0,"['brother brother relationship', 'grizzly bear', 'inuit', 'transformation', 'friendship', 'sibling rivalry', 'unlikely friendship', 'aftercreditsstinger', 'duringcreditsstinger']",250397798,85336277,165061521
2454,False,"['Drama', 'Crime']",1807,tt0363589,"['video game', 'gun', 'classroom', 'mass murder', 'girlfriend', 'columbine']","['HBO Films', 'Fearmakers Studios']",['United States of America'],5/18/2003,2003,An ordinary high school day. Except that it's not.,Elephant,3000000,6.447312,81.0,7.0,410.0,"['video game', 'gun', 'classroom', 'mass murder', 'girlfriend', 'columbine']",10012022,1266955,8745067
2461,False,"['Drama', 'Thriller', 'Romance']",10922,tt0308383,"['black people', 'literature professor']","['Miramax Films', 'Lakeshore Entertainment', 'Cinerenta Medienbeteiligungs KG', 'Stone Village Pictures', 'Cinepsilon']","['France', 'Germany', 'United States of America']",10/29/2003,2003,How far would you go to escape the past?,The Human Stain,30000000,8.408429,106.0,6.1,124.0,['black people'],22954068,5381908,17572160
2464,False,"['Adventure', 'Action', 'Thriller', 'Science Fiction']",605,tt0242653,"['saving the world', 'artificial intelligence', 'man vs machine', 'flying', 'philosophy', 'fortune teller', 'kung fu', 'underground world', 'killer robot', 'temple', 'subway', 'dream', 'sun', 'hero', 'fight', 'sunlight', 'computer virus', 'key', 'future', 'precognition', 'super computer', 'machine town', 'ying yang', 'dying and death', 'virtual reality', 'dystopia', 'computer', 'faith', 'world religion', 'truth', 'rescue', 'mission', 'cyberpunk', 'woman director', 'yin yang']","['Village Roadshow Pictures', 'NPV Entertainment', 'Silver Pictures', 'Warner Bros.']","['United States of America', 'Australia']",11/5/2003,2003,Everything that has a beginning has an end.,The Matrix Revolutions,150000000,15.368205,129.0,6.4,3155.0,"['saving the world', 'artificial intelligence', 'man vs machine', 'flying', 'philosophy', 'fortune teller', 'kung fu', 'underground world', 'killer robot', 'temple', 'subway', 'dream', 'sun', 'hero', 'fight', 'sunlight', 'computer virus', 'key', 'future', 'precognition', 'super computer', 'machine town', 'ying yang', 'dying and death', 'virtual reality', 'dystopia', 'computer', 'faith', 'world religion', 'truth', 'rescue', 'mission', 'cyberpunk', 'woman director', 'yin yang']",427343298,139313948,288029350
2466,False,"['Comedy', 'Family', 'Fantasy']",10719,tt0319343,"['holiday', 'elves', 'santa claus', 'looking for  birth parents', 'romance', 'north pole']","['New Line Cinema', 'Guy Walks into a Bar Productions']","['United States of America', 'Germany']",10/9/2003,2003,"This holiday, discover your inner elf.",Elf,32000000,8.754132,97.0,6.4,1007.0,"['holiday', 'elves', 'santa claus', 'looking for  birth parents', 'romance', 'north pole']",220443451,173398518,47044933
2469,False,"['Comedy', 'Romance', 'Drama']",508,tt0314331,"['london england', 'male nudity', 'female nudity', 'love at first sight', 'usa president', 'marseille', 'office', 'christmas party', 'marriage proposal', 'bars and restaurants', 'press conference', 'language barrier', 'prime minister', 'rock star', 'tv show', 'metal detector', 'war on terror', 'school performance']","['Universal Pictures', 'DNA Films', 'StudioCanal', 'Working Title Films']","['United Kingdom', 'United States of America']",9/7/2003,2003,The ultimate romantic comedy.,Love Actually,40000000,10.586815,135.0,7.0,1917.0,"['london england', 'male nudity', 'female nudity', 'love at first sight', 'usa president', 'marseille', 'office', 'christmas party', 'marriage proposal', 'bars and restaurants', 'press conference', 'language barrier', 'prime minister', 'rock star', 'tv show', 'metal detector', 'war on terror', 'school performance']",244931766,59696144,185235622
2472,False,"['Animation', 'Comedy', 'Family']",10715,tt0318155,"['spy', 'movie business', 'duck', 'bunny', 'wretch', 'live action and animation']","['Warner Bros. Animation', 'Warner Bros.', 'Goldmann Pictures', 'Baltimore Spring Creek Productions', 'Warner Bros. Feature Animation']","['Germany', 'United States of America']",11/14/2003,2003,Real life has never been so animated.,Looney Tunes: Back in Action,80000000,13.666488,90.0,5.6,302.0,"['spy', 'duck', 'bunny', 'wretch', 'film industry']",68514844,20991364,47523480
2473,False,['Adventure'],8619,tt0311113,"['based on novel or book', 'surgeon', 'navy', 'napoleonic wars', 'naturalist', 'frigate', 'self surgery', 'sea battle', 'weevil', 'high seas', '19th century', 'galapagos islands', 'galapagos', 'english navy']","['Universal Pictures', 'Twentieth Century Fox Film Corporation', 'Samuel Goldwyn Films', 'Miramax']",['United States of America'],11/14/2003,2003,The courage to do the impossible lies in the hearts of men.,Master and Commander: The Far Side of the World,150000000,8.693298,138.0,6.9,808.0,"['naturalist', 'frigate', 'self surgery', 'sea battle']",211622535,93927920,117694615
2474,False,"['Music', 'Documentary']",21525,tt0343121,"['rap music', 'hip-hop', 'blunt', 'woman director']","['Paramount Pictures', 'MTV Films']",['United States of America'],1/23/2003,2003,In his own words,Tupac: Resurrection,300000,2.409278,112.0,8.0,26.0,"['rap music', 'blunt']",7808524,7718961,89563
2475,False,"['Thriller', 'Western', 'Adventure']",12146,tt0338188,"['mexico', 'based on novel', 'new mexico', 'apache', 'daughter', 'frontier', 'criminal']","['Columbia Pictures', 'Imagine Entertainment', 'Revolution Studios', 'Daniel Ostroff Productions']",['United States of America'],11/26/2003,2003,"How far would you go, how much would you sacrifice to get back what you have lost?",The Missing,60000000,8.975439,135.0,6.1,162.0,"['mexico', 'based on novel', 'new mexico', 'apache', 'daughter', 'frontier', 'criminal']",38364277,27011180,11353097
2477,False,"['Horror', 'Thriller']",4970,tt0348836,"['amnesia', 'mental institution', 'patient', 'trust', 'false accusations', 'medication', 'gothic']","['Columbia Pictures Corporation', 'Dark Castle Entertainment', 'Warner Bros.']",['United States of America'],11/21/2003,2003,Because someone is dead doesn't mean they're gone.,Gothika,40000000,10.939066,98.0,5.8,643.0,"['amnesia', 'mental institution', 'patient', 'trust', 'false accusations', 'medication', 'gothic']",141591324,59694580,81896744
2478,False,"['Drama', 'Crime', 'Thriller']",470,tt0315733,"['life and death', 'transplantation', 'suicide attempt', 'desperation', 'loss of family', 'sadness', 'rage and hate']","['This Is That Productions', 'Y Productions', 'Mediana Productions Filmgesellschaft']",['United States of America'],9/6/2003,2003,How much does life weigh?,21 Grams,20000000,6.372278,124.0,7.2,943.0,"['life and death', 'transplantation', 'suicide attempt', 'desperation', 'loss of family', 'sadness', 'rage and hate']",60427839,16290476,44137363
2479,False,"['Comedy', 'Crime', 'Drama']",11042,tt0338135,"['father son relationship', 'socialism', 'yuppie', 'professor', 'dying and death', 'cancer', 'money', 'university', 'illness', 'dying', 'family conflict']","['Pyramide Productions', 'Cinémaginaire Inc.', 'Téléfilm Canada', 'The Harold Greenberg Fund', 'Astral Films']","['Canada', 'France']",5/21/2003,2003,"A provocative new comedy about sex, friendship, and all other things that invade our lives.",The Barbarian Invasions,8000000,4.125182,99.0,6.7,80.0,"['father son relationship', 'socialism', 'yuppie', 'professor', 'dying and death', 'cancer', 'money', 'university', 'illness', 'dying', 'family conflict']",13065317,5109226,7956091
2480,False,"['Drama', 'Comedy', 'Crime']",10147,tt0307987,"['holiday', 'elves', 'christmas party', 'department store', 'safe', 'drink', 'little people', 'christmas eve']","['Columbia Pictures', 'Triptych Pictures']","['Germany', 'United States of America']",11/26/2003,2003,He doesn't care if you're naughty or nice.,Bad Santa,23000000,10.930143,91.0,6.4,666.0,"['holiday', 'elves', 'christmas party', 'department store', 'safe', 'drink', 'little people', 'christmas eve']",76488889,60060328,16428561
2481,False,"['Thriller', 'Fantasy', 'Comedy', 'Family', 'Mystery']",10756,tt0338094,"['secret passage', 'magic', 'estate agent', 'haunted house', 'family vacation', 'ghost']","['Walt Disney Pictures', 'Gunn Films', 'Doom Buggy Productions']",['United States of America'],11/25/2003,2003,Check your pulse at the door... if you have one.,The Haunted Mansion,90000000,11.605735,87.0,5.1,481.0,"['secret passage', 'magic', 'estate agent', 'haunted house', 'family vacation', 'ghost']",182290266,75847266,106443000
2482,False,"['Action', 'Adventure', 'Science Fiction']",9562,tt0300556,"['professor', 'time travel', 'quantum mechanics', ""hundred years' war"", 'excavation', 'knight', 'medieval']","['Paramount Pictures', 'Mutual Film Company', 'Cobalt Media Group']",['United States of America'],11/26/2003,2003,They had to travel into the past to save the future,Timeline,80000000,6.982761999999999,116.0,5.4,324.0,"['professor', 'time travel', 'quantum mechanics', 'excavation', 'knight']",43935763,19481943,24453820
2484,False,"['Action', 'Science Fiction', 'Crime']",9556,tt0099365,"['corruption', 'experiment', 'burn', 'mask', 'gangster boss', 'los angeles', 'madness', 'outsider', 'disfigurement', 'conflagration']","['Universal Pictures', 'Renaissance Pictures']",['United States of America'],8/24/1990,1990,"They destroyed everything he had, everything he was. Now, crime has a new enemy and justice has a new face.",Darkman,16000000,8.899417999999997,96.0,6.2,304.0,"['corruption', 'experiment', 'burn', 'mask', 'gangster boss', 'los angeles', 'madness', 'outsider', 'disfigurement', 'conflagration']",48878502,33878502,15000000
2487,False,"['Thriller', 'Crime', 'Drama']",10952,tt0102526,"['drug dealer', 'undercover agent', 'gang leader', 'crack']","['Warner Bros.', 'Jacmac Films']",['United States of America'],3/8/1991,1991,They're a new breed of gangster. The new public enemy. The new family of crime.,New Jack City,8500000,12.979446,97.0,6.3,134.0,"['drug dealer', 'undercover agent', 'gang leader', 'crack']",47624353,47624353,
2488,False,"['Comedy', 'Drama', 'Thriller']",6472,tt0109951,"['bodyguard', 'celebrity']","['TriStar Pictures', 'Channel Films']",['United States of America'],3/11/1994,1994,A comedy beyond the call of duty.,Guarding Tess,20000000,8.847461000000003,96.0,5.9,86.0,"['bodyguard', 'celebrity']",27058304,27058304,
2490,False,"['Action', 'Fantasy', 'Science Fiction']",8010,tt0102034,"['new york', 'scotland']",['Lamb Bear Entertainment'],"['Argentina', 'France', 'United Kingdom']",1/30/1991,1991,It's a kind of magic.,Highlander II: The Quickening,30000000,8.032638,91.0,4.5,213.0,"['new york', 'scotland']",15556340,15556340,
2493,False,"['Action', 'Adventure', 'Comedy']",9292,tt0102070,"['vatican', 'leonardo da vinci', 'painting']","['TriStar Pictures', 'Silver Pictures']",['United States of America'],5/23/1991,1991,Danger is his middle name.,Hudson Hawk,65000000,9.782014,100.0,5.4,275.0,"['vatican', 'leonardo da vinci', 'painting']",17218080,17218080,
2495,False,['Comedy'],951,tt0099938,"['crime fighter', 'cook', 'drug dealer', 'dying and death', 'kindergarten', 'kiss', 'police', 'teacher']","['Imagine Entertainment', 'Universal Pictures']",['United States of America'],12/21/1990,1990,"Go ahead, you tell him you didn't do your homework.",Kindergarten Cop,15000000,3.67003,111.0,5.8,643.0,"['crime fighter', 'cook', 'drug dealer', 'dying and death', 'kindergarten', 'kiss', 'police', 'teacher']",201957688,91457688,110500000
2497,False,"['Action', 'Thriller']",9319,tt0102266,"['bomb', 'corruption', 'assassin', 'sniper', 'anti hero', 'cocaine', 'senator', 'strip club', 'cynicism', 'puppet', 'swimming pool', 'dysfunctional marriage', 'los angeles', 'police detective', 'alcoholic', 'private detective', 'bribery', 'frame up', 'exotic dancer']","['Geffen Pictures', 'Silver Pictures', 'Warner Bros.']",['United States of America'],12/11/1991,1991,Everyone had counted them out. But they're about to get back in the game.,The Last Boy Scout,29000000,10.550259,105.0,6.5,502.0,"['bomb', 'corruption', 'assassin', 'sniper', 'anti hero', 'cocaine', 'senator', 'strip club', 'cynicism', 'puppet', 'swimming pool', 'dysfunctional marriage', 'los angeles', 'police detective', 'alcoholic', 'private detective', 'bribery', 'frame up', 'exotic dancer']",59509925,59509925,
2502,False,"['Action', 'Adventure', 'Thriller']",10538,tt0105104,"['airport', 'florida', 'fbi', 'hijacking', 'los angeles']",['Warner Bros.'],['United States of America'],11/5/1992,1992,"He's an ex-cop with a bad mouth, a bad attitude, and a bad seat. For the terrorists on flight 163 . . . he's very bad news.",Passenger 57,15000000,18.451321,84.0,5.6,264.0,"['airport', 'florida', 'fbi', 'hijacking', 'los angeles']",44065653,44065653,
2505,False,"['Comedy', 'Drama', 'Romance']",9261,tt0107156,"['gay', 'new york', 'father son relationship', 'wife husband relationship', 'coming out', 'wedding night', 'taiwan', 'homosexuality', 'independent film', 'wedding']","['Ang Lee Productions', 'Good Machine']","['Taiwan', 'United States of America']",8/4/1993,1993,You are cordially invited to a wedding where everybody wants to kiss the bride... except the groom.,The Wedding Banquet,1000000,2.709403,109.0,6.8,42.0,"['gay', 'new york', 'father son relationship', 'wife husband relationship', 'coming out', 'wedding night', 'taiwan', 'homosexuality', 'independent film', 'wedding']",6933459,6933459,
2508,False,['Drama'],20763,tt0105211,"['step father', 'physical abuse']","['Columbia Pictures', 'Stonebridge Entertainment']",['United States of America'],2/21/1992,1992,Powered by imagination.,Radio Flyer,35000000,5.6182370000000015,114.0,6.6,54.0,"['step father', 'physical abuse']",4651977,4651977,
2514,False,"['Comedy', 'Crime', 'Thriller']",483,tt0100935,"['prison', 'sex', 'witch', 'hotel room', 'texas', 'loss of father', 'car journey', 'new orleans', 'hitman', 'snake skin jacket', 'fairy', 'murder', 'car crash', 'escape', 'mother daughter relationship', 'pistol', 'violence', 'killer', 'bank robbery', 'car']",['Samuel Goldwyn'],['United States of America'],5/1/1990,1990,A wild crazy love story.,Wild at Heart,9500000,8.528622,124.0,7.0,341.0,"['prison', 'sex', 'witch', 'hotel room', 'texas', 'loss of father', 'car journey', 'new orleans', 'hitman', 'snake skin jacket', 'fairy', 'murder', 'car crash', 'escape', 'mother daughter relationship', 'pistol', 'violence', 'killer', 'bank robbery', 'car']",14560247,14560247,
2516,False,"['Action', 'Adventure', 'Comedy']",11676,tt0119807,"['rap music', 'infidelity', 'security camera', 'loss', 'crook', 'sociopath', 'revenge', 'artifact', 'f word', 'racism', 'criminal', 'on the road', 'desert', 'security guard', 'shoplifting', 'screwball', 'reckless driving', 'road movie', 'buddy comedy', 'unlikely friendship', 'carjacker', 'advertising executive', 'suv']",['Touchstone Pictures'],['United States of America'],7/18/1997,1997,"When the odds are against you, sometimes the only bet is yourself.",Nothing to Lose,25000000,6.287242,97.0,6.3,174.0,"['rap music', 'infidelity', 'security camera', 'loss', 'crook', 'sociopath', 'revenge', 'artifact', 'f word', 'racism', 'criminal', 'on the road', 'desert', 'security guard', 'shoplifting', 'screwball', 'reckless driving', 'road movie', 'buddy comedy', 'unlikely friendship', 'carjacker', 'advertising executive', 'suv']",44480039,44480039,
2517,False,"['Drama', 'Adventure', 'Action', 'History']",79,tt0299977,"['countryside', 'loss of loved one', 'martial arts', 'right and justice', 'ancient china', 'patriot', 'wuxia', 'warring states period', '3rd century bc']",['Beijing New Picture Film Co. Ltd.'],['China'],12/19/2002,2002,One man's strength will unite an empire.,Hero,31000000,9.861765,99.0,7.3,647.0,"['countryside', 'loss of lover', 'right and justice']",177395557,53710019,123685538
2521,False,"['Comedy', 'Horror', 'Thriller']",11811,tt0107387,"['daughter', 'kobold', 'kleeblatt', 'north dakota', 'murder']",['Trimark Pictures'],['United States of America'],1/8/1993,1993,Your luck just ran out.,Leprechaun,900000,9.096254,92.0,5.1,120.0,"['daughter', 'kobold', 'kleeblatt', 'north dakota', 'murder']",8556940,8556940,
2523,False,"['Crime', 'Drama']",2742,tt0102511,"['based on novel', 'writing', 'hallucination', 'independent film', 'writer', 'bug', 'illegal drugs', 'exterminator', 'beat generation']","['Téléfilm Canada', 'Film Trustees Ltd.', 'Naked Lunch Productions', 'Ontario Film Development Corporation', 'Nippon Film Development and Finance']","['Canada', 'Japan', 'United Kingdom']",12/27/1991,1991,Exterminate all rational thought.,Naked Lunch,16000000,7.919299,115.0,7.0,207.0,"['based on novel', 'writing', 'hallucination', 'independent film', 'writer', 'bug', 'illegal drugs', 'exterminator', 'beat generation']",2641357,2641357,
2525,False,"['Drama', 'Romance']",10744,tt0318374,"['casino', 'jinx', 'bad luck', 'las vegas']",['ContentFilm'],['United States of America'],1/17/2003,2003,When your life depends on losing... the last thing you need is lady luck.,The Cooler,32000000,10.694443,101.0,6.7,90.0,"['casino', 'jinx']",10464788,8291572,2173216
2527,False,"['Romance', 'Music', 'Family']",10028,tt0322589,"['new york', 'dancing', 'dream', 'dance', 'blackmail', 'harassment', 'career', 'video', 'teacher', 'business', 'sabotage', 'choreographer', 'club', 'harlem']","['Universal Pictures', 'Marc Platt Productions', 'NuAmerica Entertainment']",['United States of America'],11/24/2003,2003,Her dream. Her terms,Honey,18000000,11.863954,94.0,6.0,313.0,"['new york', 'dancing', 'dream', 'dance', 'blackmail', 'harassment', 'career', 'video', 'teacher', 'business', 'sabotage', 'choreographer', 'club', 'harlem']",62228395,30308417,31919978
2528,False,"['Drama', 'Action', 'War', 'History']",616,tt0325710,"['japan', 'war crimes', 'sense of guilt', 'swordplay', 'general', 'samurai', 'war veteran', 'katana', 'sword', 'arms deal', 'homeland', 'emperor', 'language barrier', 'mountain village', 'foreign legion', 'mercenary', 'campaign', 'commercial agreement', 'insurgence', 'leader', 'war strategy', 'gettysburg', 'loss of husband', 'slaughter', 'soldier', 'alcoholic', 'japanese army', '19th century']","['Warner Bros.', 'Radar Pictures']","['Japan', 'United States of America', 'New Zealand']",12/5/2003,2003,"In the face of an enemy, in the heart of one man, lies the soul of a warrior.",The Last Samurai,140000000,19.582325,154.0,7.3,1946.0,"['japan', 'war crimes', 'sense of guilt', 'swordplay', 'general', 'samurai', 'war veteran', 'katana', 'sword', 'arms deal', 'homeland', 'emperor', 'language barrier', 'mountain village', 'foreign legion', 'mercenary', 'campaign', 'commercial agreement', 'insurgence', 'leader', 'war strategy', 'gettysburg', 'loss of husband', 'slaughter', 'soldier', 'alcoholic', 'japanese army', '19th century']",454627263,111127263,343500000
2530,False,"['Adventure', 'Fantasy', 'Drama']",587,tt0319061,"['circus', 'father son relationship', 'witch', 'fish', 'fishing', 'leech', 'story teller', 'apoplectic stroke', 'fair', 'mermaid', 'cancer', 'relationship', 'youth']","['Columbia Pictures', 'The Zanuck Company', 'Tim Burton Productions']",['United States of America'],12/25/2003,2003,An adventure as big as life itself.,Big Fish,70000000,14.739983,125.0,7.6,2064.0,"['circus', 'father son relationship', 'witch', 'fish', 'fishing', 'leech', 'story teller', 'apoplectic stroke', 'fair', 'mermaid', 'cancer', 'relationship', 'youth']",123218424,66809693,56408731
2532,False,"['Drama', 'Comedy', 'Romance']",6964,tt0337741,"['new york city', 'age difference', 'ladykiller', 'playwright', 'woman director', 'hamptons']","['Columbia Pictures Corporation', 'Waverly Films', 'Warner Bros.']",['United States of America'],12/12/2003,2003,Schmucks are people too.,Something's Gotta Give,80000000,8.524847,128.0,6.3,422.0,"['age difference', 'ladykiller']",265328738,124728738,140600000
2533,False,['Comedy'],1792,tt0338466,"['sex', 'dancer', 'martial arts', 'cook', 'stripper', 'love', 'bully', 'hollywood', 'twins', 'flashback', 'freak', 'actor', 'anxiety', 'conjoined']","['Twentieth Century Fox Film Corporation', 'Conundrum Entertainment']",['United States of America'],12/10/2003,2003,"Whatever happens to the boys, one thing is certain. Nothing will ever come between them.",Stuck on You,55000000,6.96675,118.0,5.1,194.0,"['sex', 'dancer', 'martial arts', 'cook', 'stripper', 'love', 'bully', 'hollywood', 'twins', 'flashback', 'freak', 'actor', 'anxiety', 'conjoined']",65784503,33832741,31951762
2536,False,"['Adventure', 'Fantasy', 'Action']",122,tt0167260,"['elves', 'orcs', 'based on novel', 'suspicion', 'bravery', 'war', 'honor', 'troll', 'brutality', 'violence', 'ghost', 'end of trilogy', 'quest']","['WingNut Films', 'New Line Cinema']","['New Zealand', 'United States of America']",12/1/2003,2003,The eye of the enemy is moving.,The Lord of the Rings: The Return of the King,94000000,29.324358,201.0,8.1,8226.0,"['elves', 'orcs', 'based on novel', 'suspicion', 'bravery', 'war', 'honor', 'troll', 'brutality', 'violence', 'ghost', 'end of trilogy', 'quest']",1140682011,377027325,763654686
2537,False,"['Drama', 'Romance']",11820,tt0304415,"['faculty', 'art history', 'rowing', 'school nurse', 'femininity', 'teacher hero']","['Columbia Pictures', 'Revolution Studios']",['United States of America'],12/19/2003,2003,"In a world that told them how to think, she showed them how to live.",Mona Lisa Smile,65000000,10.527191,117.0,6.5,406.0,"['faculty', 'art history', 'rowing', 'school nurse', 'femininity', 'teacher hero']",141337989,63860942,77477047
